record_type,epoch,step,global_step,optimizer_step,train_step_loss,train_running_loss,train_epoch_loss,val_loss,val_wer,lr,elapsed_sec,best_wer
train_step,44,24,2045,84,5.274798393249512,4.752705752849579,,,,8.400000000000001e-06,,
train_step,44,25,2046,84,4.6816864013671875,4.749864978790283,,,,8.400000000000001e-06,,
train_step,44,26,2047,85,4.374945640563965,4.735445004243117,,,,8.5e-06,,
train_step,44,27,2048,85,4.628093242645264,4.731469013072826,,,,8.5e-06,,
train_step,44,28,2049,86,4.379082679748535,4.718883786882673,,,,8.6e-06,,
train_step,44,29,2050,86,4.520256996154785,4.712034587202401,,,,8.6e-06,,
train_step,44,30,2051,87,4.550828456878662,4.706661049524943,,,,8.7e-06,,
train_step,44,31,2052,87,4.382395267486572,4.696200863007577,,,,8.7e-06,,
train_step,44,32,2053,88,5.126909255981445,4.70966050028801,,,,8.8e-06,,
train_step,44,33,2054,88,4.284395217895508,4.696773673548843,,,,8.8e-06,,
train_step,44,34,2055,89,4.702065467834473,4.696929314557244,,,,8.9e-06,,
train_step,44,35,2056,89,4.580320835113525,4.693597643715995,,,,8.9e-06,,
train_step,44,36,2057,90,4.961048126220703,4.70102682378557,,,,9e-06,,
train_step,44,37,2058,90,4.666561126708984,4.700095318459176,,,,9e-06,,
train_step,44,38,2059,91,4.364494800567627,4.691263725883083,,,,9.100000000000001e-06,,
train_step,44,39,2060,91,4.274783611297607,4.680584748586019,,,,9.100000000000001e-06,,
train_step,44,40,2061,92,4.557549476623535,4.677508866786956,,,,9.2e-06,,
train_step,44,41,2062,92,4.506755828857422,4.673344158544773,,,,9.2e-06,,
train_step,44,42,2063,93,4.302675247192383,4.664518708274478,,,,9.299999999999999e-06,,
train_step,44,43,2064,93,4.643230438232422,4.664023632226988,,,,9.299999999999999e-06,,
train_step,44,44,2065,94,4.239025115966797,4.654364575039256,,,,9.4e-06,,
train_step,44,45,2066,94,5.023872375488281,4.662575859493679,,,,9.4e-06,,
train_step,44,46,2067,95,4.7394700050354,4.664247471353282,,,,9.5e-06,,
train_step,44,47,2068,96,5.093029022216797,4.673370483073782,,,,9.600000000000001e-06,,
epoch_summary,44,47,2068,96,,,4.673370483073782,nan,nan,9.600000000000001e-06,9.464465856552124,0.21612232079767607
train_step,45,1,2069,96,3.863661766052246,3.863661766052246,,,,9.600000000000001e-06,,
train_step,45,2,2070,97,5.007756233215332,4.435708999633789,,,,9.7e-06,,
train_step,45,3,2071,97,4.736860275268555,4.536092758178711,,,,9.7e-06,,
train_step,45,4,2072,98,4.875680923461914,4.620989799499512,,,,9.8e-06,,
train_step,45,5,2073,98,4.928184986114502,4.68242883682251,,,,9.8e-06,,
train_step,45,6,2074,99,4.641392707824707,4.675589481989543,,,,9.9e-06,,
train_step,45,7,2075,99,4.294626235961914,4.6211661611284525,,,,9.9e-06,,
train_step,45,8,2076,100,4.633781433105469,4.62274307012558,,,,1e-05,,
train_step,45,9,2077,100,4.203936576843262,4.576209015316433,,,,1e-05,,
train_step,45,10,2078,101,4.408736228942871,4.5594617366790775,,,,1.01e-05,,
train_step,45,11,2079,101,4.4999284744262695,4.554049621928822,,,,1.01e-05,,
train_step,45,12,2080,102,4.5148468017578125,4.550782720247905,,,,1.02e-05,,
train_step,45,13,2081,102,4.498096466064453,4.546729931464562,,,,1.02e-05,,
train_step,45,14,2082,103,4.515039920806885,4.544466359274728,,,,1.03e-05,,
train_step,45,15,2083,103,4.8160271644592285,4.562570412953694,,,,1.03e-05,,
train_step,45,16,2084,104,4.899200439453125,4.583609789609909,,,,1.04e-05,,
train_step,45,17,2085,104,4.9456377029418945,4.604905549217673,,,,1.04e-05,,
train_step,45,18,2086,105,4.4689483642578125,4.597352372275458,,,,1.05e-05,,
train_step,45,19,2087,105,4.388496398925781,4.586359952625475,,,,1.05e-05,,
